Understat_ID, FPL_ID, Understat_Name, FPL_Name
1250,328,Mohamed Salah,Mohamed Salah
8260,351,Erling Haaland,Erling Haaland
5232,401,Alexander Isak,Alexander Isak
4456,447,Chris Wood,Chris Wood
6552,99,Bryan Mbeumo,Bryan Mbeumo
8497,182,Cole Palmer,Cole Palmer
5735,207,Jean-Philippe Mateta,Jean-Philippe Mateta
5786,110,Yoane Wissa,Yoane Wissa
7080,-1,Matheus Cunha,
8865,58,Ollie Watkins,Ollie Watkins
6963,71,Justin Kluivert,Justin Kluivert
8868,268,Liam Delap,Liam Delap
10760,491,Brennan Johnson,Brennan Johnson
11070,566,Jørgen Strand Larsen,Jørgen Strand Larsen
4105,252,Raúl Jiménez,Raúl Jiménez
10408,327,Luis Díaz,Luis Díaz
5220,4,Kai Havertz,Kai Havertz
6818,494,James Maddison,James Maddison
10048,180,Nicolas Jackson,Nicolas Jackson
12963,-1,Evanilson,
500,247,Alex Iwobi,Alex Iwobi
501,148,Danny Welbeck,Danny Welbeck
1228,-1,Bruno Fernandes,
1776,514,Jarrod Bowen,Jarrod Bowen
8272,-1,João Pedro,
10717,-1,Rodrigo Muniz,
11296,321,Cody Gakpo,Cody Gakpo
12412,54,Morgan Rogers,Morgan Rogers
453,-1,Son Heung-Min,
755,306,Jamie Vardy,Jamie Vardy
1679,-1,Dominic Solanke,
5675,-1,Ismaila Sarr,
6055,348,Phil Foden,Phil Foden
6063,402,Jacob Murphy,Jacob Murphy
6691,492,Dejan Kulusevski,Dejan Kulusevski
8288,-1,Tomas Soucek,
9156,106,Kevin Schade,Kevin Schade
9307,232,Iliman Ndiaye,Iliman Ndiaye
9662,74,Dango Ouattara,Dango Ouattara
10806,-1,Kaoru Mitoma,
11357,177,Noni Madueke,Noni Madueke
11363,78,Antoine Semenyo,Antoine Semenyo
11366,38,Jhon Durán,Jhon Durán
5304,633,Mikel Merino,Mikel Merino
6681,392,Harvey Barnes,Harvey Barnes
6854,-1,Diogo Jota,
7322,17,Bukayo Saka,Bukayo Saka
7752,-1,Gabriel Martinelli,
8127,-1,Amad Diallo Traore,
8150,398,Anthony Gordon,Anthony Gordon
9524,432,Anthony Elanga,Anthony Elanga
9983,-1,Beto,
556,385,Marcus Rashford,Marcus Rashford
5596,259,Harry Wilson,Harry Wilson
6456,434,Callum Hudson-Odoi,Callum Hudson-Odoi
6857,433,Morgan Gibbs-White,Morgan Gibbs-White
6937,618,Georginio Rutter,Georginio Rutter
7230,-1,Emile Smith-Rowe,
7698,23,Leandro Trossard,Leandro Trossard
8393,755,Omar Marmoush,Omar Marmoush
9788,336,Dominik Szoboszlai,Dominik Szoboszlai
9790,-1,Josko Gvardiol,
10720,-1,Darwin Núñez,
11356,168,Enzo Fernández,Enzo Fernández
12759,135,Yankuba Minteh,Yankuba Minteh
87,-1,Joelinton,
672,192,Jordan Ayew,Jordan Ayew
2254,-1,Mateo Kovacic,
6174,-1,Nikola Milenkovic,
7083,101,Christian Nørgaard,Christian Nørgaard
7134,-1,Marc Cucurella,
7365,-1,Lucas Paquetá,
8379,329,Alexis Mac Allister,Alexis Mac Allister
10552,372,Alejandro Garnacho,Alejandro Garnacho
11360,470,Paul Onuachu,Paul Onuachu
11362,117,Facundo Buonanotte,Facundo Buonanotte
12408,211,Daniel Muñoz,Daniel Muñoz
12752,-1,Sammie Szmodics,
592,29,Ross Barkley,Ross Barkley
2117,762,Marco Asensio,Marco Asensio
2328,20,Thomas Partey,Thomas Partey
3300,181,Christopher Nkunku,Christopher Nkunku
5543,-1,Gabriel Jesus,
5555,220,Dominic Calvert-Lewin,Dominic Calvert-Lewin
5613,-1,Gabriel,
6098,589,Niclas Füllkrug,Niclas Füllkrug
6382,-1,Pedro Neto,
6615,159,Trevoh Chalobah,Trevoh Chalobah
6665,324,Curtis Jones,Curtis Jones
6674,-1,Rayan Ait Nouri,
6756,230,Dwight McNeil,Dwight McNeil
6837,579,Ryan Sessegnon,Ryan Sessegnon
7484,298,Stephy Mavididi,Stephy Mavididi
7603,-1,Marc Guehi,
8044,389,Joshua Zirkzee,Joshua Zirkzee
8327,-1,Bruno Guimarães,
8981,-1,Jéremy Doku,
9021,-1,Pape Sarr,
10348,-1,Omari Hutchinson,
10741,83,Marcus Tavernier,Marcus Tavernier
10766,-1,Joe Ayodele-Aribo,
11055,375,Rasmus Højlund,Rasmus Højlund
11132,12,Ethan Nwaneri,Ethan Nwaneri
11384,-1,João Gomes,
12027,525,Mohammed Kudus,Mohammed Kudus
12766,-1,Jota Silva,
76,415,Fabian Schär,Fabian Schär
447,345,Kevin De Bruyne,Kevin De Bruyne
586,362,John Stones,John Stones
725,422,Ola Aina,Ola Aina
900,239,Adama Traoré,Adama Traoré
922,-1,Andreas Pereira,
1245,-1,Emerson,
1653,228,Michael Keane,Michael Keane
1726,217,Abdoulaye Doucouré,Abdoulaye Doucouré
1791,311,Trent Alexander-Arnold,Trent Alexander-Arnold
